Herbage Columns
Cut_Plot
Year
Plot
Row
Block
Management
Sward_type
M_ST
M_Y
First_cut
Cut
Date_Cut
Dry_matter_content
DMY
DMY_Cut2_0
Sand
Check_value
Opm
VEM
DVE
OEB
VEVI
VOS
FOS
SW
Ruw_eiwit
Ruwe_celst
Ruw_as
VCOS_TT
VCOS_TT_schatting
VEM_opb
Ruw_eiwit_opb
N_opname
Natrium
Kalium
Magnesium
Calcium
Fosfor
Mangaan
Zink
IJzer
Koper
Zwavel
Afw_DM_perc_duplos
