Plot,Rij,Blok,Mengsel,Beheer,Mengsel.1,Maaien,Mest,Jaar,oms. Diepte,Veldnummer,C-elementair Dumas,C-elementair NIRS,OS-Gloeiverlies,OS - NIRS,C/OS,HWC,C-totaal,Klei,Silt,Zand,Indringings-weerstand Max,Indringings- weerstand gemiddeld,Bulk-dichtheid ,pF 0,pF 2.0,pF 2.7,pF 4.2,pH-CaCL2,pH              NIRS,N-totaal NIRS,N-totaal                        Kjeldahl,C/N (NIRS),N-min najaar CaCl2,P-beschikbaar (P-PAE),P-beschikbaar (Pw),P-voorraad (PAL),K-beschikbaar (K-PAE),K-voorraad (NIRS),Ca-beschikbaar (NIRS),Ca-Voorraad NIRS,Mg-beschikbaar (NIRS),Mg-Voorraad NIRS,CEC,CEC bezetting,Ca-bezetting,Mg-bezetting,K-bezetting,Pot min. N (PMN) - NIRS,Microbiële biomassa,Bacteriële biomassa,Schimmel biomassa,PLFA,Schimmel/bacterie-ratio,Gewas op het moment van bemonstering,% Scherpblokkigheid,Bodemleven ,Beworteling ,Bouwvoordiepte,Bewortelingsdiepte,Storende laag,diepte storende laag ,dikte storende laag,opmerkingen
1,A,A,2,B3,WM,vroeg,DM_L,2020.0,0-30 cm,1,4.3,4.0,7.9,7.6,0.53,1752.329519,4.5,40,38,13,0.7,0.6,1.09,0.55,0.49,0.45,0.22,7.0,7.0,4220.0,4990,9.0,23.299999999999997,0.7,16,15,44,5.1,0.8,320.0,227.0,32.4,344.0,100.0,89.0,9.4,1.5,97.0,1108.0,429.0,287.0,0.0,0.7,"graskruiden (oa smalle weegbree, duizendblad etc)",75,2,2,28,60,0,0,0,licht vochtig
3,B,A,2,B1,WM,laat,RM,,0-30 cm,3,5.5,4.1,8.3,7.8,0.53,2124.616365,4.5,42,36,14,2.1,1.2,1.15,0.5,0.49,0.48,0.22,6.8,6.8,4440.0,4810,9.0,20.2,0.8,19,23,53,5.0,0.8,326.0,256.0,41.9,356.0,100.0,86.0,12.0,1.4,121.0,1263.0,477.0,270.0,0.0,0.6,"graskruiden (oa smalle weegbree, duizendblad, zuring etc)",80,2,2,30,60,0,0,0,erg compact onderin
4,B,A,3,B1,FWM,laat,RM,,0-30 cm,4,4.6,3.8,7.5,7.3,0.52,1745.660771,4.3,37,38,16,1.5,1.2,1.13,0.53,0.49,0.47,0.23,7.2,7.2,4110.0,4390,9.0,16.6,0.9,20,26,65,5.3,0.9,325.0,195.0,36.2,332.0,100.0,87.0,11.0,1.6,107.0,1016.0,398.0,179.0,0.0,0.4,gras,55,2,2,28,60,0,0,0,vochtig
6,C,A,1,B1,ER,laat,RM,,0-30 cm,6,4.7,4.3,8.6,8.2,0.52,2205.479437,4.7,40,38,13,1.9,1.3,1.12,0.51,0.5,0.48,0.22,6.8,6.9,4560.0,4980,9.0,24.4,1.1,23,30,73,5.2,0.5,309.0,255.0,34.1,351.0,100.0,88.0,9.7,1.5,131.0,1134.0,521.0,306.0,0.0,0.6,gras,60,2,2,30,60,0,0,0,vochtig
9,E,A,1,B3,ER,vroeg,DM_L,,0-30 cm,9,4.3,3.9,7.4,7.4,0.53,1726.488142,4.1,42,38,12,0.5,0.4,1.16,0.5,0.49,0.48,0.25,7.1,7.1,4080.0,4430,9.0,25.7,0.9,22,30,62,5.3,0.2,319.0,231.0,32.9,346.0,100.0,88.0,9.5,1.5,128.0,1291.0,509.0,286.0,0.0,0.6,gras,60,2,2,30,60,0,0,0,0
